id,begin,enemy,weigh,space
1,10,100|200,80|20,2.5
2,60,100|200|300,60|20|20,2.3
3,120,100|200|300,60|20|20,2
4,210,100|200|300|400|101|301,40|20|10|5|20|5,2
5,270,100|200|300|400|101|201|301,25|10|10|5|20|15|15,2
6,330,100|200|300|400|500|101|201,30|15|10|2|3|30|10,2
7,630,100|300|500|101|201|301|401,20|20|5|20|20|10|5,2
8,930,100|300|400|500|101|201|301,20|10|5|5|20|20|20,2
9,1230,100|200|300|400|500|101|201|301|401|501,15|15|10|5|5|20|10|10|5|5,2
10,1530,100|200|300|400|500|101|201|301|401|501,20|15|10|5|5|10|15|10|5|5,2
11,30030,100|200|400|500|101|201|301|401|501,15|15|5|5|15|15|20|5|5,2
12,60000,100|200|400|500|101|201|301|401|501,10|15|5|5|15|15|20|5|10,2
